feature,final_score
high__mean_change,0.8197136
high__time_reversal_asymmetry_statistic__lag_1,0.55865806
high__time_reversal_asymmetry_statistic__lag_2,0.40131897
high__cid_ce__normalize_True,0.31357044
high__last_location_of_minimum,0.31022742
high__autocorrelation__lag_8,0.2982828
high__mean_second_derivative_central,0.29804918
high__time_reversal_asymmetry_statistic__lag_3,0.28725165
high__autocorrelation__lag_2,0.28231853
high__autocorrelation__lag_7,0.27643427
high__cid_ce__normalize_False,0.2751992
high__autocorrelation__lag_5,0.26905888
high__last_location_of_maximum,0.26855996
high__kurtosis,0.2663635
high__first_location_of_maximum,0.24828194
high__mean_abs_change,0.24115083
high__minimum,0.23620012
high__sum_values,0.2345355
high__standard_deviation,0.23436865
high__skewness,0.23067649
high__autocorrelation__lag_3,0.23042747
high__c3__lag_2,0.22613151
high__quantile__q_0.3,0.21493486
high__longest_strike_below_mean,0.214015
high__symmetry_looking__r_0.05,0.21302827
high__quantile__q_0.2,0.21134585
high__autocorrelation__lag_6,0.20944233
high__maximum,0.20806573
high__count_above_mean,0.2048741
high__quantile__q_0.9,0.20163754
high__autocorrelation__lag_1,0.20117627
high__sum_of_reoccurring_values,0.19591257
high__first_location_of_minimum,0.19352779
high__median,0.19348586
high__c3__lag_3,0.1847979
high__longest_strike_above_mean,0.18084948
high__c3__lag_1,0.18077327
high__variation_coefficient,0.17819458
high__absolute_sum_of_changes,0.17790614
high__autocorrelation__lag_4,0.17676872
high__quantile__q_0.4,0.17186123
high__quantile__q_0.8,0.1674998
high__abs_energy,0.16690898
high__absolute_maximum,0.16576515
high__percentage_of_reoccurring_values_to_all_values,0.16053578
high__quantile__q_0.6,0.15866698
high__sum_of_reoccurring_data_points,0.15787698
high__large_standard_deviation__r_0.25,0.15672728
high__quantile__q_0.7,0.15648358
high__quantile__q_0.1,0.15466143
high__large_standard_deviation__r_0.30000000000000004,0.15018456
high__variance,0.14929038
high__count_below_mean,0.14889978
high__mean,0.14662483
high__root_mean_square,0.14524952
high__percentage_of_reoccurring_datapoints_to_all_datapoints,0.138913
high__large_standard_deviation__r_0.2,0.13298784
high__symmetry_looking__r_0.25,0.13181137
high__symmetry_looking__r_0.2,0.13181137
high__variance_larger_than_standard_deviation,0.1312899
high__autocorrelation__lag_0,0.12945843
high__large_standard_deviation__r_0.4,0.12945843
high__large_standard_deviation__r_0.35000000000000003,0.12609312
high__has_duplicate_min,0.12592901
high__symmetry_looking__r_0.15000000000000002,0.12581582
high__has_duplicate_max,0.12569979
high__has_duplicate,0.12447604
high__ratio_value_number_to_time_series_length,0.122725956
high__symmetry_looking__r_0.1,0.10598358
