feature,final_score
high__mean_change,0.82032216
high__time_reversal_asymmetry_statistic__lag_1,0.6646631
high__time_reversal_asymmetry_statistic__lag_2,0.52407247
high__time_reversal_asymmetry_statistic__lag_3,0.34688666
high__mean_second_derivative_central,0.34496403
high__last_location_of_maximum,0.32568306
high__cid_ce__normalize_True,0.2974851
high__autocorrelation__lag_3,0.28348783
high__autocorrelation__lag_5,0.27084753
high__autocorrelation__lag_6,0.26616913
high__skewness,0.25966814
high__first_location_of_maximum,0.25454673
high__mean_abs_change,0.25223887
high__autocorrelation__lag_2,0.24290825
high__autocorrelation__lag_7,0.24166442
high__autocorrelation__lag_1,0.23791122
high__autocorrelation__lag_8,0.23509012
high__autocorrelation__lag_4,0.23335126
high__minimum,0.23102568
high__cid_ce__normalize_False,0.22996134
high__first_location_of_minimum,0.22626355
high__large_standard_deviation__r_0.25,0.2207836
high__variation_coefficient,0.21963707
high__quantile__q_0.2,0.21650293
high__longest_strike_above_mean,0.21370757
high__last_location_of_minimum,0.21338412
high__median,0.20986322
high__quantile__q_0.7,0.19985521
high__c3__lag_2,0.19944447
high__sum_of_reoccurring_data_points,0.19808803
high__kurtosis,0.19591793
high__quantile__q_0.6,0.19548257
high__quantile__q_0.9,0.19429709
high__absolute_sum_of_changes,0.18624476
high__symmetry_looking__r_0.05,0.18586427
high__c3__lag_1,0.18486658
high__standard_deviation,0.18412726
high__longest_strike_below_mean,0.18294646
high__variance,0.17395025
high__quantile__q_0.4,0.17367825
high__count_below_mean,0.17305292
high__c3__lag_3,0.17305098
high__sum_values,0.17187037
high__quantile__q_0.3,0.17128064
high__maximum,0.1693723
high__count_above_mean,0.16693436
high__quantile__q_0.1,0.16662334
high__mean,0.16473202
high__abs_energy,0.16145997
high__sum_of_reoccurring_values,0.15655439
high__quantile__q_0.8,0.15599522
high__absolute_maximum,0.15349433
high__root_mean_square,0.14635932
high__symmetry_looking__r_0.1,0.14424145
high__ratio_value_number_to_time_series_length,0.14323092
high__large_standard_deviation__r_0.30000000000000004,0.14171936
high__percentage_of_reoccurring_datapoints_to_all_datapoints,0.13607563
high__large_standard_deviation__r_0.4,0.13512896
high__symmetry_looking__r_0.25,0.13395248
high__symmetry_looking__r_0.2,0.1331045
high__autocorrelation__lag_0,0.132776
high__large_standard_deviation__r_0.2,0.13183369
high__variance_larger_than_standard_deviation,0.12949622
high__symmetry_looking__r_0.15000000000000002,0.12927605
high__has_duplicate_max,0.1292466
high__has_duplicate_min,0.1292466
high__large_standard_deviation__r_0.35000000000000003,0.12728713
high__has_duplicate,0.12631008
high__percentage_of_reoccurring_values_to_all_values,0.1260785
