feature,final_score
high__mean_change,0.8612181
high__time_reversal_asymmetry_statistic__lag_1,0.6601279
high__time_reversal_asymmetry_statistic__lag_2,0.4912485
high__cid_ce__normalize_True,0.3130141
high__kurtosis,0.3092325
high__mean_second_derivative_central,0.30435285
high__skewness,0.30302674
high__time_reversal_asymmetry_statistic__lag_3,0.30209234
high__last_location_of_minimum,0.2727859
high__autocorrelation__lag_5,0.26734802
high__cid_ce__normalize_False,0.25598344
high__autocorrelation__lag_8,0.25274968
high__first_location_of_minimum,0.2519466
high__mean_abs_change,0.25139725
high__last_location_of_maximum,0.24891362
high__standard_deviation,0.24622425
high__autocorrelation__lag_7,0.23477723
high__autocorrelation__lag_4,0.23036289
high__autocorrelation__lag_1,0.23027405
high__sum_values,0.22582793
high__minimum,0.22125563
high__autocorrelation__lag_3,0.22047268
high__longest_strike_above_mean,0.21980046
high__absolute_sum_of_changes,0.2144926
high__maximum,0.2132346
high__median,0.20997176
high__ratio_value_number_to_time_series_length,0.20986815
high__c3__lag_1,0.20961142
high__quantile__q_0.6,0.2072848
high__count_above_mean,0.2050636
high__sum_of_reoccurring_values,0.20452975
high__quantile__q_0.9,0.20123957
high__first_location_of_maximum,0.1997618
high__large_standard_deviation__r_0.25,0.19641179
high__variance,0.19451925
high__root_mean_square,0.19292781
high__variation_coefficient,0.18821329
high__absolute_maximum,0.18281728
high__longest_strike_below_mean,0.18127239
high__autocorrelation__lag_6,0.18111584
high__quantile__q_0.2,0.18003093
high__sum_of_reoccurring_data_points,0.17930615
high__quantile__q_0.1,0.1789466
high__large_standard_deviation__r_0.30000000000000004,0.176343
high__quantile__q_0.3,0.17588496
high__percentage_of_reoccurring_datapoints_to_all_datapoints,0.17295863
high__symmetry_looking__r_0.05,0.1721719
high__abs_energy,0.17206444
high__percentage_of_reoccurring_values_to_all_values,0.16633773
high__c3__lag_2,0.16520864
high__count_below_mean,0.16398893
high__quantile__q_0.7,0.16069217
high__quantile__q_0.4,0.1567963
high__has_duplicate,0.15593411
high__autocorrelation__lag_2,0.15463915
high__quantile__q_0.8,0.14998722
high__variance_larger_than_standard_deviation,0.14829816
high__c3__lag_3,0.14700197
high__symmetry_looking__r_0.1,0.14657119
high__mean,0.14144745
high__large_standard_deviation__r_0.35000000000000003,0.13902634
high__symmetry_looking__r_0.25,0.13617115
high__autocorrelation__lag_0,0.13617115
high__symmetry_looking__r_0.2,0.13517761
high__large_standard_deviation__r_0.4,0.13499469
high__large_standard_deviation__r_0.2,0.13381821
high__symmetry_looking__r_0.30000000000000004,0.13381821
high__has_duplicate_max,0.13250077
high__symmetry_looking__r_0.15000000000000002,0.13171002
high__has_duplicate_min,0.13146527
